Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Iaurt grecesc 10% Olympus,124,5,10,3.5,0,1 cutie = 150 g
Iaurt grecesc 10% Sevis,121.3,4.3,10,3.5,0,
"Iaurt grecesc 10,5% Eridanous",126,5,10.5,2.8,0,
Iaurt grecesc 2% Olympus,65,8,2,3.8,0,
Iaurt grecesc 5% Total,96,9,5,3.8,0,
"Iaurt grecesc 9,2% Grisk Jogurt",127,7.8,9.2,3.3,0,
"Iaurt grecesc 9,71% Bonas",115.1,3.7,9.7,3.3,0,
Iaurt grecesc Big Panda,124.4,4,10,4.6,0,
Iaurt grecesc coacaze si zmeura Olympus,93,5.7,1.6,13.2,0.3,
Iaurt grecesc cu coacaze Olympus,116,7.1,2.1,17.4,0.4,
Iaurt grecesc mar scortisoara 16% Olympus,94,5.7,1.6,14,0.2,1 buc = 125 g
Iaurt grecesc Transilvania Lactate,75,4.6,5,3,0,
Iaurt ispita fructelor cu visine Milli,93,3.8,2.4,14,0,1 pahar = 150 g
"Iaurt lapte de capra light 1,5% Capri Lact",44.8,3.5,1.5,4,0,sticla 330 g
"Iaurt light 0,1% Premio Unicarm",31.7,3.6,0.1,4.1,0,1 cutie = 500 g
Iaurt mar copt cu scortisoara Yoplait,107,4.2,3.6,14.4,0,1 pahar = 125 g
Iaurt mure si zmeura mix Muller,114,4,8.6,15.6,2,1 buc = 150 g (115 g iaurt+35 fructe)
"Iaurt natur 0,1% bio Andechser",47,5.5,0.1,5.9,0,1 buc = 150 g
"Iaurt natur 1,4% Sole",45,3.4,1.4,4.8,0,1 pahar =125 g
"Iaurt natur 2,6% Joya",57.6,4.5,2.6,3.7,2.9,1 pahar = 150 g
"Iaurt natur 3,6% Sole",62,3.4,3.6,0,0,1 pahar = 375 g
Iaurt natur de capra organic Rupi,64,4,4,3.6,0,1 borcan = 175 g
"Iaurt natural 0,1% Carrefour",34,3.8,0.1,4.6,0,
"Iaurt natural 1,5% LaDorna",46,3.2,1.5,4.9,0,1 sticla = 250 g
Iaurt natural 10% Griego,122,3.6,10,3.9,0,
"Iaurt natural 2,8 % Profi",57,3.2,2.8,4,0,1 buc = 175 g
"Iaurt natural 2,8% Campina",60,3.7,2.8,5.4,0,1 cutie mica = 150 g
