Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Biscuiti proteici portocale Protobisco,356,38,18,5,10,1 biscuite = 25 g
Biscuiti sarati cu chimen Soltino,479,7.7,21.5,63.7,0,1 punga = 200g
Biscuiti simpli cu ciocolata Carrefour,501,6.8,22,69,2.6,1 buc = 12.5 g
Biscuiti Tuc,485,8.2,23,62,0,1 pachet = 100 g
Biscuitit crackers cu faina integrala Tuc,434,11.9,13.2,63.3,7,4 buc = 25 g
Biscuitit cu pizza Toortitzi,425.8,6.9,8.6,79.4,0,1 punga=80g
Boabe de porumb Mogyi,356,11,3.1,70,0,1 punga = 100 g
Briosa Picolina cu crema de vanilie Boromir,381,7.7,15.8,52,0,1 buc = 40 g
Bruschete cu ciuperci si smantana Maretti,465.5,8.8,18.8,65.5,0,
"Bruschete oregano, rosii si masline Salatini",450,8.4,20,58,2.1,1 punga = 70 g
Bruschette cu gust de sunca Itlian Ham Flavour Maretti,463,8.9,18.5,64,2.7,1 punga = 70 g
Cartofi prajiti Lay's Sticks,500,8,32,46,4.5,
Chips cartofi,536,7.1,35.7,53.6,3.6,
Chips copt cu Paprika Lay's,415,5.5,9.5,74,4.5,1 punga = 70 g
Chips cu branza Cheese Chio,553,5.5,35,16,0,1 punga mare =142 g
Chips cu paprika Chio,542,5.6,35,48,0,1 punga = 130 g
Chips cu sare Lay's,539,6.4,35,47.4,4.4,
Chips cu sare Pringles,526,3.9,34,52,2.6,1 cutie = 165 g
Chips cu smantana si ceapa Pringles,517,4.1,33,52,2.5,
Chips Paprika Lay's,525,6.6,33,48,0.4,1 punga mare = 250 g
Chips porumb cu sare Tornado Ryderz,513.2,5.5,29.9,55.5,0,1 punga mica = 60 g
Chips Soltino,578,5,40,50,0,
Chips tortilla cu sare Doritos,489,7,23,61,4.1,1 punga = 85 g
Chipsuri cu aroma barbeque Lay's,525,6.6,34,48,4.4,
Chipsuri cu otet Walkers,519,5.9,30.8,52.6,4.2,1 punga = 25 g
Chipsuri cu sare Chio,541,6,35,50,4,
Chipsuri de creveti Vitasia,529,1.9,33.5,54.5,0,1 punga = 100 g
Clip Sticks cu cascaval Ulker,434,7.1,8,82.8,0,
Covrig ciocolata Petru,350,6,18,35,0,
Covrigei crocanti sarati Clever,413.8,10.3,6.6,78.3,0,
