Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Paine low carb preparata din faina Buna Dimineata,231,30.1,10.4,4.2,2.1,
Paine multicereale Aldi,195,8.8,4.5,29.8,17,1 felie = 42 g
Paine multicereale Bonpana Dobrogea,220,7.6,2.8,39.4,3.1,
Paine multicereale Lider Pan,223,8.9,1.9,41.4,1.6,
"Paine multicereale, feliata Rotunda Romanesca ",264.9,11.3,4.5,42.7,4.2,
Paine neagra bio Kornkammeret,230,7,7,30,9,
"Paine neagra cu fibre, feliata Vel Pitar",186.9,8.9,0.4,36.8,10.2,1 paine = 500 g
Paine neagra cu secara Panifcom,227,7,0.5,49,3.2,1 felie = 54 g
Paine neagra cu tarate si seminte de cereale Galmopan,250,9.2,2.7,47.3,4.1,
Paine neagra feliata Dobrogea,241,8.6,2,43.6,7.2,
Paine neagra Pumpernickel Pural,190,5,1,39,9,1 buc = 500 g
Paine neagra Vatra Domneasca Total,222,9.1,1.2,42.3,11.7,1 punga = 600 g
Paine prajita Bio Carrefour,358,13,6,63,11,1 felie = 8.8 g
Paine prajita Biscottes Mega Image,416,12.8,7.1,74.2,1.8,
Paine prajita Clasic Eti Mek ,401,10.2,5,78.4,2,1 cutie  = 125 g
"Paine prajita cu tarate, germeni de grau si faina integrala Biscottes Bio Nature",372,14.8,4.4,64.6,7.3,1 felie = 8.3 g
Paine prajita grau intreg Carrefour,401,11,7.6,70,4.3,
Paine prajita Mini biscottes cu susan Minigrill,422,12,12,63,7,
Paine prajita Mini Tostas Melba,388,14.9,7,66.3,9.9,1 felie = 4 g
Paine proteica cu 76% mai putini carbohidrati Edeka ,276,25,12,11.4,11,2 felii = 65 g
Paine rotunda romaneasca rustica Danser-pan Padureni,251,8.4,1.1,52.1,1.7,1 paine = 500g
Paine saraca in glucide Lujerul,185,12.5,1.8,29.7,6,
Paine secara Hapi Hap,227,12.9,0.8,42.4,1.1,1 felie = 25 g
Paine secara integrata extrudate Linea Natura,262,12,8,36,18,1 punga = 200 g
Paine secara Pumpernickel Vita Star,198,5,1,36,11,
Paine Silueta Bimbo,245,9.1,2.8,42.6,6.5,1 felie = 26 g
Paine spanish soya Corona,247,8.2,2,47.8,4.8,
Paine speciala Vita Star,188,6,2,31,10,
Paine specialitate neagra cu tarate Vel Pitar,240.5,10.9,2.9,45.9,6.4,1 felie = 16 g
Paine tarate Scandurica Ana Pan,350,12,4.8,61,15,1 buc = 150 g
Paine toast bio cu multicereale Savoria,278,10,6,46,8.5,
Paine toast clasic Vel Pitar,257,8.2,1.8,52.1,0,1 felie = aprox. 28g
Paine toast cu faina integrala Castello,284,11,4.7,46,7,1 felie = 25 g
Paine toast cu germeni de grau Savoria,289,10.5,4.9,52.4,0,
Paine toast cu secara Savoria,255.1,8.9,0,50.6,0,1 felie = 23 g
Paine toast cu unt Castello,280,11,3.3,50,3.4,1 buc = 500 g
Paine toast fibre Savoria,260.5,9.8,3.5,45.6,3.7,1 buc = 25 g
Paine toast Franzeluta,262.4,8.1,2.3,49.5,0,
Paine toast graham Dobre & Fiii,256,7.7,4.5,44.5,5,1 felie=25 g
Paine toast grau intreg Vel Pitar,218,19,2.7,26.4,5.7,1 paine = 600 g
Paine toast integral Gustopan,242,9.3,1.4,48.7,8.6,1 felie = 25 g
Paine toast integrala Savoria,242,9.3,1.4,48.7,0,
Paine toast multicereal Breadies,228.5,8.3,3.4,39.8,0,
Paine toast Rivercote Melba Lidl,398,13,2,79,4,1 felie = 10 g
Paine toast secara Breadies,229.2,7.5,2.1,43.5,0,1 felie = 24 g
Paine toast Secara K-Classic,260,12,2.5,47,1,
Paine ultrafibre Bongrana,243,16,4,35,7,1 felie = 21 g
Paine Urtekram,240,7,5.5,36,7.5,
Paine Vita Rustica Vel Pitar,217.6,7,1.2,44.7,3.4,1 buc = 500 g
Painea Brutarului neagra Lidl,257.6,8.7,1.8,51.7,3.3,
